Seed,Algorithm,dataset,time,train_f1,val_f1,acc,val_acc,bin_acc,val_bin_acc,train_loss,val_loss
8,Deep,Easy,0:00:05.371572,0.2749580284927499,0.0,0.6227316135663358,0.6183206111420202,0.6227316135663358,0.6227316135663358,4.1016387488575585,4.6726714017737
8,LSTM,Easy,0:00:07.102154,0.7663545582333176,0.6900405519791232,0.8309455585684681,0.7633587786259542,0.8309455585684681,0.8309455585684681,0.3763587543991712,0.7412569062172911
8,RNN,Easy,0:00:03.861066,0.7691099972187505,0.7148971193619357,0.8290353386654895,0.7862595419847328,0.8290353386654895,0.8290353386654895,0.4030213714101367,0.4703260244986483
8,CNN,Easy,0:00:10.598715,0.7750620508376143,0.7012679049076925,0.8366762171388241,0.7824427480916031,0.8366762171388241,0.8366762171388241,0.38131710331897684,0.48061547058684223
8,Shallow,Big,0:00:47.991215,0.3178656273005286,0.36995252207234275,0.9989416343973837,0.9990285921608558,0.9989416343973837,0.9989416343973837,0.012531643850451735,0.011933176652168736
8,Deep,Big,0:01:32.486638,0.16591733977025494,0.2635464229618955,0.994066130294336,0.9987945179827488,0.994066130294336,0.994066130294336,0.09392741942631709,0.018847382237833187
8,CNN,Big,0:11:36.302584,0.5169033120647699,0.49019798033609385,0.9997441865131117,0.9994733330992591,0.9997441865131117,0.9997441865131117,0.0007853067424015897,0.004645918916587967
8,LSTM,Big,0:01:59.020534,0.48255102484010154,0.49299438260026096,0.0026684857845901055,0.0026684456303194557,0.0026684857845901055,0.0026684857845901055,0.005705047555569235,0.00718051506378379
8,RNN,Big,0:00:52.846878,0.441778324593013,0.4735622137396746,0.999448245420437,0.9993914071369217,0.999448245420437,0.999448245420437,0.002710007387861108,0.0030331158521679997
8,Shallow,Text,0:00:02.761252,0.575588870022969,0.6564094686508178,0.4947749201252274,0.501875,0.4947749201252274,0.4947749201252274,0.7012793200703423,0.69577139377594
8,Deep,Text,0:00:04.089370,0.4024051133970483,0.6675611138343811,0.4894158622970663,0.50125,0.4894158622970663,0.4894158622970663,6.155357558116524,6.291459083557129
8,LSTM,Text,0:00:50.292998,0.9636349028968607,0.7424258995056152,0.6771168272467161,0.55625,0.6771168272467161,0.6771168272467161,0.1281731542826721,1.6725314617156983
